mutant_id	path	line	mutation	outcome	reproduction	semantic_effect	verdict	authority	action	final_outcome
M001	01_core/entities/refinement_seal.rs	37	replace VerdictName::as_str -> &'static str with ""	MISSED	pending	changes an observable contract decision	TEST-GAP	owner prompt + existing assessment	add a public-contract test and rerun cluster	pending
M002	01_core/entities/refinement_seal.rs	37	replace VerdictName::as_str -> &'static str with "xyzzy"	MISSED	pending	changes an observable contract decision	TEST-GAP	owner prompt + existing assessment	add a public-contract test and rerun cluster	pending
M003	03_infra/refinement_snapshot.rs	17	replace * with +	MISSED	pending	changes an observable contract decision	TEST-GAP	owner prompt + existing assessment	add a public-contract test and rerun cluster	pending
M004	03_infra/refinement_snapshot.rs	18	replace * with +	MISSED	pending	changes an observable contract decision	TEST-GAP	owner prompt + existing assessment	add a public-contract test and rerun cluster	pending
M005	03_infra/refinement_snapshot.rs	67	replace <impl Visitor<'de> for DuplicateVisitor>::expecting -> std::fmt::Result with Ok(Default::default())	MISSED	pending	changes non-normative serde expectation prose only	EQUIVALENT	stable error class, not exact serde prose	document; no test added solely to pin prose	pending
M006	03_infra/refinement_snapshot.rs	72	replace > with == in <impl Visitor<'de> for DuplicateVisitor>::visit_map	MISSED	pending	changes an observable contract decision	TEST-GAP	owner prompt + existing assessment	add a public-contract test and rerun cluster	pending
M007	03_infra/refinement_snapshot.rs	72	replace > with >= in <impl Visitor<'de> for DuplicateVisitor>::visit_map	MISSED	pending	changes an observable contract decision	TEST-GAP	owner prompt + existing assessment	add a public-contract test and rerun cluster	pending
M008	03_infra/refinement_snapshot.rs	99	replace > with >= in <impl Visitor<'de> for DuplicateVisitor>::visit_str	MISSED	pending	changes an observable contract decision	TEST-GAP	owner prompt + existing assessment	add a public-contract test and rerun cluster	pending
M009	03_infra/refinement_snapshot.rs	116	replace > with >= in bounded	MISSED	pending	changes an observable contract decision	TEST-GAP	owner prompt + existing assessment	add a public-contract test and rerun cluster	pending
M010	03_infra/refinement_snapshot.rs	136	replace || with && in read_regular	MISSED	pending	changes an observable contract decision	TEST-GAP	owner prompt + existing assessment	add a public-contract test and rerun cluster	pending
M011	03_infra/refinement_snapshot.rs	139	replace > with == in read_regular	MISSED	pending	changes an observable contract decision	TEST-GAP	owner prompt + existing assessment	add a public-contract test and rerun cluster	pending
M012	03_infra/refinement_snapshot.rs	139	replace > with >= in read_regular	MISSED	pending	changes an observable contract decision	TEST-GAP	owner prompt + existing assessment	add a public-contract test and rerun cluster	pending
M013	03_infra/refinement_snapshot.rs	146	replace + with - in read_regular	MISSED	pending	changes an observable contract decision	TEST-GAP	owner prompt + existing assessment	add a public-contract test and rerun cluster	pending
M014	03_infra/refinement_snapshot.rs	149	replace > with == in read_regular	MISSED	pending	changes an observable contract decision	TEST-GAP	owner prompt + existing assessment	add a public-contract test and rerun cluster	pending
M015	03_infra/refinement_snapshot.rs	146	replace + with * in read_regular	MISSED	pending	changes an observable contract decision	TEST-GAP	owner prompt + existing assessment	add a public-contract test and rerun cluster	pending
M016	03_infra/refinement_snapshot.rs	149	replace > with >= in read_regular	MISSED	pending	changes an observable contract decision	TEST-GAP	owner prompt + existing assessment	add a public-contract test and rerun cluster	pending
M017	03_infra/refinement_snapshot.rs	153	replace || with && in read_regular	MISSED	pending	changes an observable contract decision	TEST-GAP	owner prompt + existing assessment	add a public-contract test and rerun cluster	pending
M018	03_infra/refinement_snapshot.rs	199	replace || with && in load_snapshot_from_bytes	MISSED	pending	changes an observable contract decision	TEST-GAP	owner prompt + existing assessment	add a public-contract test and rerun cluster	pending
M019	03_infra/refinement_snapshot.rs	199	replace > with == in load_snapshot_from_bytes	MISSED	pending	changes an observable contract decision	TEST-GAP	owner prompt + existing assessment	add a public-contract test and rerun cluster	pending
M020	03_infra/refinement_snapshot.rs	199	replace > with >= in load_snapshot_from_bytes	MISSED	pending	changes an observable contract decision	TEST-GAP	owner prompt + existing assessment	add a public-contract test and rerun cluster	pending
M021	03_infra/refinement_snapshot.rs	199	replace > with == in load_snapshot_from_bytes	MISSED	pending	changes an observable contract decision	TEST-GAP	owner prompt + existing assessment	add a public-contract test and rerun cluster	pending
M022	03_infra/refinement_snapshot.rs	199	replace > with >= in load_snapshot_from_bytes	MISSED	pending	changes an observable contract decision	TEST-GAP	owner prompt + existing assessment	add a public-contract test and rerun cluster	pending
M023	03_infra/refinement_snapshot.rs	202	replace > with >= in load_snapshot_from_bytes	MISSED	pending	changes an observable contract decision	TEST-GAP	owner prompt + existing assessment	add a public-contract test and rerun cluster	pending
M024	03_infra/refinement_snapshot.rs	210	replace > with == in load_snapshot_from_bytes	MISSED	pending	changes an observable contract decision	TEST-GAP	owner prompt + existing assessment	add a public-contract test and rerun cluster	pending
M025	03_infra/refinement_snapshot.rs	215	replace || with && in load_snapshot_from_bytes	MISSED	pending	changes an observable contract decision	TEST-GAP	owner prompt + existing assessment	add a public-contract test and rerun cluster	pending
M026	03_infra/refinement_snapshot.rs	214	replace || with && in load_snapshot_from_bytes	MISSED	pending	changes an observable contract decision	TEST-GAP	owner prompt + existing assessment	add a public-contract test and rerun cluster	pending
